beta_type,dist,n,p,rho,target_censoring,lambda_choice,mean_lambda,median_lambda,sd_lambda
realistic,gompertz,100.000,50,0.3,0.1,min,0.0105661789003916,0.0105699543457639,3.49685050736247e-5
realistic,gompertz,100.000,10,0.3,0.3,min,0.00896505292461201,0.00896651850047007,3.81840358434707e-5
realistic,gompertz,100.000,20,0.3,0.3,min,0.00896682203068593,0.00896655680524771,4.1469535542744e-5
realistic,gompertz,100.000,50,0.3,0.3,min,0.00895941968383602,0.00895763759299549,4.40858522938218e-5
realistic,lognormal,100.000,10,0,0,min,0.0100145850869364,0.0100937458300907,2.646845447734e-4
realistic,lognormal,100.000,20,0,0,min,0.00997496028529641,0.0100865115455144,3.0423015650212e-4
realistic,lognormal,100.000,50,0,0,min,0.00998109331110241,0.0100837323284003,3.0014655245059e-4
realistic,lognormal,100.000,10,0,0.1,min,0.00945370282086858,0.00952213363799815,2.303956160019e-4
realistic,lognormal,100.000,20,0,0.1,min,0.00945014234033941,0.0095195001963921,2.3553668206372e-4
realistic,lognormal,100.000,50,0,0.1,min,0.00933788305890296,0.00949651552016739,3.4196675240236e-4
realistic,lognormal,100.000,10,0,0.3,min,0.00774328594484465,0.00749057294578443,3.415831024188e-4
realistic,lognormal,100.000,20,0,0.3,min,0.00771948937453468,0.00747167948634834,3.4172508259077e-4
realistic,lognormal,100.000,50,0,0.3,min,0.00767392680283899,0.00746096619030887,3.3202947115346e-4
realistic,lognormal,100.000,10,0.3,0,min,0.0118708855233908,0.0115835984783165,4.8748657204139e-4
realistic,lognormal,100.000,20,0.3,0,min,0.0118747954875311,0.0115803641947018,4.9311265756745e-4
realistic,lognormal,100.000,50,0.3,0,min,0.0119277206778065,0.011606829466418,5.0794933131508e-4
realistic,lognormal,100.000,10,0.3,0.1,min,0.0110006484997402,0.0109309345091772,2.6202652373976e-4
realistic,lognormal,100.000,20,0.3,0.1,min,0.0110121689092775,0.0109342672203894,2.7932332345362e-4
realistic,lognormal,100.000,50,0.3,0.1,min,0.0109965190026009,0.0109340687619298,2.6110906458692e-4
realistic,lognormal,100.000,10,0.3,0.3,min,0.00949745813767985,0.00938160209202476,3.1828702191749e-4
realistic,lognormal,100.000,20,0.3,0.3,min,0.0094379786185395,0.00937507822088226,2.4612620107865e-4
realistic,lognormal,100.000,50,0.3,0.3,min,0.00944077507191332,0.00938637059112243,2.2866380201032e-4
realistic,weibull,100.000,10,0,0,min,0.00898504800053944,0.00897608507559849,8.57204054633683e-5
realistic,weibull,100.000,10,0,0,min,0.00898504800053944,0.00897608507559849,8.57204054633683e-5
realistic,weibull,100.000,20,0,0,min,0.00897512503194301,0.00897347973289996,3.81053512967591e-5
realistic,weibull,100.000,20,0,0,min,0.00897512503194301,0.00897347973289996,3.81053512967591e-5
realistic,weibull,100.000,50,0,0,min,0.00897665185758031,0.00896625513345412,8.6927459157291e-5
realistic,weibull,100.000,50,0,0,min,0.00897665185758031,0.00896625513345412,8.6927459157291e-5
realistic,weibull,100.000,10,0,0.1,min,0.00833832462539567,0.00830434596811282,1.5885521079171e-4
realistic,weibull,100.000,10,0,0.1,min,0.00833832462539567,0.00830434596811282,1.5885521079171e-4
realistic,weibull,100.000,20,0,0.1,min,0.00832622937821198,0.00830336272425548,1.2892677820098e-4
realistic,weibull,100.000,20,0,0.1,min,0.00832622937821198,0.00830336272425548,1.2892677820098e-4
realistic,weibull,100.000,50,0,0.1,min,0.0083247748727872,0.00829303910967186,1.5113755835258e-4
realistic,weibull,100.000,50,0,0.1,min,0.0083247748727872,0.00829303910967186,1.5113755835258e-4
realistic,weibull,100.000,10,0,0.3,min,0.00684110733180319,0.00683878191976803,4.3940164357467e-5
realistic,weibull,100.000,10,0,0.3,min,0.00684110733180319,0.00683878191976803,4.3940164357467e-5
realistic,weibull,100.000,20,0,0.3,min,0.00684908946213942,0.00684835848804986,3.6134419103559e-5
realistic,weibull,100.000,20,0,0.3,min,0.00684908946213942,0.00684835848804986,3.6134419103559e-5
realistic,weibull,100.000,50,0,0.3,min,0.00685143403744835,0.00684925043898338,3.16206492021869e-5
realistic,weibull,100.000,50,0,0.3,min,0.00685143403744835,0.00684925043898338,3.16206492021869e-5
realistic,weibull,100.000,10,0.3,0,min,0.0112600864870357,0.0112601305785277,5.27357307823932e-5
realistic,weibull,100.000,10,0.3,0,min,0.0112600864870357,0.0112601305785277,5.27357307823932e-5
realistic,weibull,100.000,20,0.3,0,min,0.0112630312207572,0.0112679991016622,4.69722767720626e-5
